readiness_id,initiative_id,readiness_dimension,readiness_score,assessment_status,assessment_note
RDY-00001,TR-0001,Technology,49,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00002,TR-0001,Data,61,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00003,TR-0001,Process,71,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00004,TR-0001,People,64,Remediation Required,People readiness assessment for transformation initiative.
RDY-00005,TR-0001,Governance,93,Ready,Governance readiness assessment for transformation initiative.
RDY-00006,TR-0002,Technology,73,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00007,TR-0002,Data,36,Not Ready,Data readiness assessment for transformation initiative.
RDY-00008,TR-0002,Process,66,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00009,TR-0002,People,70,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00010,TR-0002,Governance,37,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00011,TR-0003,Technology,58,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00012,TR-0003,Data,88,Ready,Data readiness assessment for transformation initiative.
RDY-00013,TR-0003,Process,56,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00014,TR-0003,People,62,Remediation Required,People readiness assessment for transformation initiative.
RDY-00015,TR-0003,Governance,48,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00016,TR-0004,Technology,39,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00017,TR-0004,Data,54,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00018,TR-0004,Process,82,Ready,Process readiness assessment for transformation initiative.
RDY-00019,TR-0004,People,94,Ready,People readiness assessment for transformation initiative.
RDY-00020,TR-0004,Governance,75,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00021,TR-0005,Technology,85,Ready,Technology readiness assessment for transformation initiative.
RDY-00022,TR-0005,Data,74,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00023,TR-0005,Process,75,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00024,TR-0005,People,61,Remediation Required,People readiness assessment for transformation initiative.
RDY-00025,TR-0005,Governance,38,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00026,TR-0006,Technology,60,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00027,TR-0006,Data,87,Ready,Data readiness assessment for transformation initiative.
RDY-00028,TR-0006,Process,67,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00029,TR-0006,People,81,Ready,People readiness assessment for transformation initiative.
RDY-00030,TR-0006,Governance,38,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00031,TR-0007,Technology,47,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00032,TR-0007,Data,53,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00033,TR-0007,Process,56,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00034,TR-0007,People,95,Ready,People readiness assessment for transformation initiative.
RDY-00035,TR-0007,Governance,63,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00036,TR-0008,Technology,75,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00037,TR-0008,Data,74,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00038,TR-0008,Process,60,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00039,TR-0008,People,93,Ready,People readiness assessment for transformation initiative.
RDY-00040,TR-0008,Governance,48,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00041,TR-0009,Technology,37,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00042,TR-0009,Data,80,Ready,Data readiness assessment for transformation initiative.
RDY-00043,TR-0009,Process,74,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00044,TR-0009,People,50,Remediation Required,People readiness assessment for transformation initiative.
RDY-00045,TR-0009,Governance,87,Ready,Governance readiness assessment for transformation initiative.
