control_id,risk_id,control_name,control_type,control_owner,control_frequency,effectiveness_score,control_status,description
CTRL-00001,RSK-00001,Compliance Control 001,Preventive,Control Owner 13,Daily,42.57,Weak,Management control designed to reduce transformation risk.
CTRL-00002,RSK-00001,Compliance Control 002,Preventive,Control Owner 29,Weekly,81.77,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00003,RSK-00002,Operational Control 003,Detective,Control Owner 28,Daily,61.2,Effective,Management control designed to reduce transformation risk.
CTRL-00004,RSK-00003,Financial Control 004,Preventive,Control Owner 17,Quarterly,71.62,Effective,Management control designed to reduce transformation risk.
CTRL-00005,RSK-00005,Cybersecurity Control 005,Preventive,Control Owner 16,Daily,85.04,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00006,RSK-00006,Vendor & Dependency Control 006,Detective,Control Owner 21,Per Transaction,78.98,Weak,Management control designed to reduce transformation risk.
CTRL-00007,RSK-00006,Vendor & Dependency Control 007,Detective,Control Owner 08,Monthly,61.24,Effective,Management control designed to reduce transformation risk.
CTRL-00008,RSK-00008,Technology Control 008,Detective,Control Owner 14,Quarterly,76.64,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00009,RSK-00010,Cybersecurity Control 009,Detective,Control Owner 25,Daily,59.16,Effective,Management control designed to reduce transformation risk.
CTRL-00010,RSK-00011,People & Change Control 010,Preventive,Control Owner 12,Weekly,91.97,Weak,Management control designed to reduce transformation risk.
CTRL-00011,RSK-00011,People & Change Control 011,Corrective,Control Owner 23,Per Transaction,75.74,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00012,RSK-00015,Vendor & Dependency Control 012,Corrective,Control Owner 21,Quarterly,48.29,Effective,Management control designed to reduce transformation risk.
CTRL-00013,RSK-00015,Vendor & Dependency Control 013,Corrective,Control Owner 13,Monthly,55.54,Effective,Management control designed to reduce transformation risk.
CTRL-00014,RSK-00016,Technology Control 014,Preventive,Control Owner 25,Weekly,31.89,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00015,RSK-00016,Technology Control 015,Preventive,Control Owner 05,Quarterly,67.31,Effective,Management control designed to reduce transformation risk.
CTRL-00016,RSK-00017,Operational Control 016,Preventive,Control Owner 22,Per Transaction,47.82,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00017,RSK-00019,Data Control 017,Corrective,Control Owner 01,Monthly,65.05,Effective,Management control designed to reduce transformation risk.
CTRL-00018,RSK-00019,Data Control 018,Detective,Control Owner 04,Monthly,41.58,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00019,RSK-00020,Technology Control 019,Preventive,Control Owner 07,Daily,42.12,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00020,RSK-00020,Technology Control 020,Preventive,Control Owner 11,Monthly,70.42,Weak,Management control designed to reduce transformation risk.
CTRL-00021,RSK-00021,People & Change Control 021,Preventive,Control Owner 14,Weekly,72.82,Effective,Management control designed to reduce transformation risk.
CTRL-00022,RSK-00023,Financial Control 022,Corrective,Control Owner 22,Per Transaction,36.21,Weak,Management control designed to reduce transformation risk.
CTRL-00023,RSK-00023,Financial Control 023,Corrective,Control Owner 10,Daily,63.71,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00024,RSK-00024,Vendor & Dependency Control 024,Corrective,Control Owner 11,Monthly,62.52,Effective,Management control designed to reduce transformation risk.
CTRL-00025,RSK-00024,Vendor & Dependency Control 025,Detective,Control Owner 26,Quarterly,68.32,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00026,RSK-00026,People & Change Control 026,Corrective,Control Owner 18,Quarterly,81.88,Effective,Management control designed to reduce transformation risk.
CTRL-00027,RSK-00026,People & Change Control 027,Detective,Control Owner 05,Per Transaction,94.77,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00028,RSK-00027,Technology Control 028,Detective,Control Owner 28,Monthly,81.9,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00029,RSK-00028,Compliance Control 029,Preventive,Control Owner 16,Per Transaction,57.78,Effective,Management control designed to reduce transformation risk.
CTRL-00030,RSK-00028,Compliance Control 030,Detective,Control Owner 03,Quarterly,62.7,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00031,RSK-00030,Operational Control 031,Preventive,Control Owner 16,Monthly,55.38,Effective,Management control designed to reduce transformation risk.
CTRL-00032,RSK-00030,Operational Control 032,Preventive,Control Owner 13,Daily,60.84,Effective,Management control designed to reduce transformation risk.
CTRL-00033,RSK-00032,Cybersecurity Control 033,Preventive,Control Owner 13,Quarterly,58.28,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00034,RSK-00032,Cybersecurity Control 034,Preventive,Control Owner 15,Weekly,58.47,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00035,RSK-00035,Data Control 035,Corrective,Control Owner 21,Weekly,34.62,Effective,Management control designed to reduce transformation risk.
CTRL-00036,RSK-00036,Cybersecurity Control 036,Detective,Control Owner 16,Quarterly,48.21,Effective,Management control designed to reduce transformation risk.
CTRL-00037,RSK-00038,Compliance Control 037,Corrective,Control Owner 01,Quarterly,46.18,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00038,RSK-00039,Financial Control 038,Corrective,Control Owner 29,Daily,59.87,Weak,Management control designed to reduce transformation risk.
CTRL-00039,RSK-00040,Financial Control 039,Corrective,Control Owner 24,Per Transaction,49.18,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00040,RSK-00040,Financial Control 040,Detective,Control Owner 29,Monthly,94.08,Weak,Management control designed to reduce transformation risk.
CTRL-00041,RSK-00042,People & Change Control 041,Corrective,Control Owner 21,Daily,38.28,Weak,Management control designed to reduce transformation risk.
CTRL-00042,RSK-00042,People & Change Control 042,Detective,Control Owner 20,Per Transaction,82.44,Effective,Management control designed to reduce transformation risk.
CTRL-00043,RSK-00045,Data Control 043,Detective,Control Owner 13,Monthly,35.25,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00044,RSK-00045,Data Control 044,Corrective,Control Owner 09,Quarterly,84.33,Effective,Management control designed to reduce transformation risk.
CTRL-00045,RSK-00046,Operational Control 045,Corrective,Control Owner 06,Quarterly,87.5,Effective,Management control designed to reduce transformation risk.
CTRL-00046,RSK-00049,Vendor & Dependency Control 046,Preventive,Control Owner 19,Per Transaction,36.88,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00047,RSK-00049,Vendor & Dependency Control 047,Corrective,Control Owner 21,Per Transaction,42.35,Effective,Management control designed to reduce transformation risk.
CTRL-00048,RSK-00050,Cybersecurity Control 048,Preventive,Control Owner 08,Daily,75.45,Effective,Management control designed to reduce transformation risk.
CTRL-00049,RSK-00050,Cybersecurity Control 049,Detective,Control Owner 18,Per Transaction,37.38,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00050,RSK-00052,Compliance Control 050,Preventive,Control Owner 08,Monthly,93.43,Effective,Management control designed to reduce transformation risk.
CTRL-00051,RSK-00055,Technology Control 051,Detective,Control Owner 25,Daily,39.93,Weak,Management control designed to reduce transformation risk.
CTRL-00052,RSK-00055,Technology Control 052,Corrective,Control Owner 06,Quarterly,69.21,Effective,Management control designed to reduce transformation risk.
CTRL-00053,RSK-00056,Data Control 053,Corrective,Control Owner 01,Weekly,93.45,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00054,RSK-00057,Cybersecurity Control 054,Detective,Control Owner 06,Weekly,34.37,Weak,Management control designed to reduce transformation risk.
CTRL-00055,RSK-00057,Cybersecurity Control 055,Detective,Control Owner 19,Monthly,64.9,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00056,RSK-00058,People & Change Control 056,Corrective,Control Owner 14,Weekly,60.96,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00057,RSK-00058,People & Change Control 057,Detective,Control Owner 26,Daily,47.12,Effective,Management control designed to reduce transformation risk.
CTRL-00058,RSK-00060,Data Control 058,Corrective,Control Owner 09,Per Transaction,52.12,Effective,Management control designed to reduce transformation risk.
CTRL-00059,RSK-00061,Technology Control 059,Detective,Control Owner 21,Per Transaction,85.0,Effective,Management control designed to reduce transformation risk.
CTRL-00060,RSK-00062,Operational Control 060,Detective,Control Owner 28,Daily,92.15,Weak,Management control designed to reduce transformation risk.
CTRL-00061,RSK-00063,Compliance Control 061,Corrective,Control Owner 16,Quarterly,48.4,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00062,RSK-00063,Compliance Control 062,Preventive,Control Owner 13,Weekly,63.27,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00063,RSK-00064,Data Control 063,Detective,Control Owner 30,Weekly,79.2,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00064,RSK-00064,Data Control 064,Detective,Control Owner 03,Daily,86.06,Effective,Management control designed to reduce transformation risk.
CTRL-00065,RSK-00065,Operational Control 065,Detective,Control Owner 27,Daily,85.69,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00066,RSK-00066,Financial Control 066,Preventive,Control Owner 04,Monthly,53.1,Effective,Management control designed to reduce transformation risk.
CTRL-00067,RSK-00066,Financial Control 067,Corrective,Control Owner 05,Quarterly,88.28,Effective,Management control designed to reduce transformation risk.
