risk_id,initiative_id,risk_name,risk_domain,description,likelihood,impact,control_effectiveness,status
RSK-00001,TR-0001,Compliance risk for Cloud Migration Program 001,Compliance,Potential compliance risk associated with the transformation.,3,3,89.66,Monitoring
RSK-00002,TR-0001,Operational risk for Cloud Migration Program 001,Operational,Potential operational risk associated with the transformation.,4,5,76.19,Open
RSK-00003,TR-0001,Financial risk for Cloud Migration Program 001,Financial,Potential financial risk associated with the transformation.,4,2,67.44,Accepted
RSK-00004,TR-0001,People & Change risk for Cloud Migration Program 001,People & Change,Potential people & change risk associated with the transformation.,3,3,27.33,Accepted
RSK-00005,TR-0001,Cybersecurity risk for Cloud Migration Program 001,Cybersecurity,Potential cybersecurity risk associated with the transformation.,2,1,40.99,Open
RSK-00006,TR-0001,Vendor & Dependency risk for Cloud Migration Program 001,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,45.32,Open
RSK-00007,TR-0001,Data risk for Cloud Migration Program 001,Data,Potential data risk associated with the transformation.,2,3,28.93,Monitoring
RSK-00008,TR-0001,Technology risk for Cloud Migration Program 001,Technology,Potential technology risk associated with the transformation.,3,3,50.62,Open
RSK-00009,TR-0002,Compliance risk for Legacy Application Replacement Program 002,Compliance,Potential compliance risk associated with the transformation.,3,4,79.68,Open
RSK-00010,TR-0002,Cybersecurity risk for Legacy Application Replacement Program 002,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,56.19,Monitoring
RSK-00011,TR-0002,People & Change risk for Legacy Application Replacement Program 002,People & Change,Potential people & change risk associated with the transformation.,3,3,85.48,Open
RSK-00012,TR-0002,Financial risk for Legacy Application Replacement Program 002,Financial,Potential financial risk associated with the transformation.,3,4,34.78,Open
RSK-00013,TR-0002,Data risk for Legacy Application Replacement Program 002,Data,Potential data risk associated with the transformation.,2,5,25.6,Open
RSK-00014,TR-0002,Operational risk for Legacy Application Replacement Program 002,Operational,Potential operational risk associated with the transformation.,1,2,65.31,Open
RSK-00015,TR-0002,Vendor & Dependency risk for Legacy Application Replacement Program 002,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,4,80.21,Open
RSK-00016,TR-0002,Technology risk for Legacy Application Replacement Program 002,Technology,Potential technology risk associated with the transformation.,5,4,35.58,Monitoring
RSK-00017,TR-0003,Operational risk for Data Platform Modernization Program 003,Operational,Potential operational risk associated with the transformation.,3,4,64.05,Open
RSK-00018,TR-0003,Cybersecurity risk for Data Platform Modernization Program 003,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,30.08,Open
RSK-00019,TR-0003,Data risk for Data Platform Modernization Program 003,Data,Potential data risk associated with the transformation.,3,1,35.76,Monitoring
RSK-00020,TR-0003,Technology risk for Data Platform Modernization Program 003,Technology,Potential technology risk associated with the transformation.,4,4,45.61,Mitigated
RSK-00021,TR-0003,People & Change risk for Data Platform Modernization Program 003,People & Change,Potential people & change risk associated with the transformation.,4,2,34.34,Monitoring
RSK-00022,TR-0003,Compliance risk for Data Platform Modernization Program 003,Compliance,Potential compliance risk associated with the transformation.,2,4,89.47,Open
RSK-00023,TR-0003,Financial risk for Data Platform Modernization Program 003,Financial,Potential financial risk associated with the transformation.,1,5,63.0,Open
RSK-00024,TR-0003,Vendor & Dependency risk for Data Platform Modernization Program 003,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,5,59.85,Monitoring
RSK-00025,TR-0004,Data risk for AI Process Automation Program 004,Data,Potential data risk associated with the transformation.,4,3,81.8,Open
RSK-00026,TR-0004,People & Change risk for AI Process Automation Program 004,People & Change,Potential people & change risk associated with the transformation.,4,4,50.75,Monitoring
RSK-00027,TR-0004,Technology risk for AI Process Automation Program 004,Technology,Potential technology risk associated with the transformation.,4,4,74.3,Accepted
RSK-00028,TR-0004,Compliance risk for AI Process Automation Program 004,Compliance,Potential compliance risk associated with the transformation.,3,4,25.81,Monitoring
RSK-00029,TR-0004,Financial risk for AI Process Automation Program 004,Financial,Potential financial risk associated with the transformation.,3,3,31.11,Mitigated
RSK-00030,TR-0004,Operational risk for AI Process Automation Program 004,Operational,Potential operational risk associated with the transformation.,3,4,34.71,Accepted
RSK-00031,TR-0004,Vendor & Dependency risk for AI Process Automation Program 004,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,2,80.83,Mitigated
RSK-00032,TR-0004,Cybersecurity risk for AI Process Automation Program 004,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,72.68,Mitigated
RSK-00033,TR-0005,Vendor & Dependency risk for Data Platform Modernization Program 005,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,5,76.88,Open
RSK-00034,TR-0005,Technology risk for Data Platform Modernization Program 005,Technology,Potential technology risk associated with the transformation.,3,4,26.5,Accepted
RSK-00035,TR-0005,Data risk for Data Platform Modernization Program 005,Data,Potential data risk associated with the transformation.,3,4,82.69,Open
RSK-00036,TR-0005,Cybersecurity risk for Data Platform Modernization Program 005,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,4,62.76,Open
RSK-00037,TR-0005,People & Change risk for Data Platform Modernization Program 005,People & Change,Potential people & change risk associated with the transformation.,4,5,55.4,Open
RSK-00038,TR-0005,Compliance risk for Data Platform Modernization Program 005,Compliance,Potential compliance risk associated with the transformation.,3,3,33.52,Open
RSK-00039,TR-0005,Financial risk for Data Platform Modernization Program 005,Financial,Potential financial risk associated with the transformation.,4,3,87.07,Open
RSK-00040,TR-0006,Financial risk for Legacy Application Replacement Program 006,Financial,Potential financial risk associated with the transformation.,2,4,55.45,Open
RSK-00041,TR-0006,Technology risk for Legacy Application Replacement Program 006,Technology,Potential technology risk associated with the transformation.,1,3,87.36,Monitoring
RSK-00042,TR-0006,People & Change risk for Legacy Application Replacement Program 006,People & Change,Potential people & change risk associated with the transformation.,3,2,41.41,Open
RSK-00043,TR-0006,Vendor & Dependency risk for Legacy Application Replacement Program 006,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,5,83.61,Accepted
RSK-00044,TR-0006,Cybersecurity risk for Legacy Application Replacement Program 006,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,5,29.67,Open
RSK-00045,TR-0007,Data risk for AI Process Automation Program 007,Data,Potential data risk associated with the transformation.,2,5,62.97,Monitoring
RSK-00046,TR-0007,Operational risk for AI Process Automation Program 007,Operational,Potential operational risk associated with the transformation.,3,3,51.32,Monitoring
RSK-00047,TR-0007,Technology risk for AI Process Automation Program 007,Technology,Potential technology risk associated with the transformation.,4,3,86.2,Open
RSK-00048,TR-0007,People & Change risk for AI Process Automation Program 007,People & Change,Potential people & change risk associated with the transformation.,5,2,42.2,Mitigated
RSK-00049,TR-0007,Vendor & Dependency risk for AI Process Automation Program 007,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,3,54.24,Open
RSK-00050,TR-0007,Cybersecurity risk for AI Process Automation Program 007,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,5,81.85,Open
RSK-00051,TR-0007,Financial risk for AI Process Automation Program 007,Financial,Potential financial risk associated with the transformation.,3,3,40.91,Open
RSK-00052,TR-0007,Compliance risk for AI Process Automation Program 007,Compliance,Potential compliance risk associated with the transformation.,5,5,75.53,Open
RSK-00053,TR-0008,Operational risk for AI Process Automation Program 008,Operational,Potential operational risk associated with the transformation.,5,3,86.96,Open
RSK-00054,TR-0008,Financial risk for AI Process Automation Program 008,Financial,Potential financial risk associated with the transformation.,4,3,41.46,Open
RSK-00055,TR-0008,Technology risk for AI Process Automation Program 008,Technology,Potential technology risk associated with the transformation.,2,5,45.9,Monitoring
RSK-00056,TR-0008,Data risk for AI Process Automation Program 008,Data,Potential data risk associated with the transformation.,3,3,59.57,Open
RSK-00057,TR-0008,Cybersecurity risk for AI Process Automation Program 008,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,5,73.2,Open
RSK-00058,TR-0008,People & Change risk for AI Process Automation Program 008,People & Change,Potential people & change risk associated with the transformation.,2,5,47.19,Open
RSK-00059,TR-0009,Vendor & Dependency risk for Data Platform Modernization Program 009,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,5,53.47,Monitoring
RSK-00060,TR-0009,Data risk for Data Platform Modernization Program 009,Data,Potential data risk associated with the transformation.,1,5,43.26,Open
RSK-00061,TR-0009,Technology risk for Data Platform Modernization Program 009,Technology,Potential technology risk associated with the transformation.,3,2,34.9,Monitoring
RSK-00062,TR-0009,Operational risk for Data Platform Modernization Program 009,Operational,Potential operational risk associated with the transformation.,3,5,45.75,Monitoring
RSK-00063,TR-0009,Compliance risk for Data Platform Modernization Program 009,Compliance,Potential compliance risk associated with the transformation.,3,4,63.98,Open
RSK-00064,TR-0010,Data risk for Cloud Migration Program 010,Data,Potential data risk associated with the transformation.,5,4,89.47,Open
RSK-00065,TR-0010,Operational risk for Cloud Migration Program 010,Operational,Potential operational risk associated with the transformation.,4,3,86.59,Open
RSK-00066,TR-0010,Financial risk for Cloud Migration Program 010,Financial,Potential financial risk associated with the transformation.,4,3,61.52,Monitoring
RSK-00067,TR-0010,Technology risk for Cloud Migration Program 010,Technology,Potential technology risk associated with the transformation.,3,5,52.25,Monitoring
RSK-00068,TR-0010,Cybersecurity risk for Cloud Migration Program 010,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,53.6,Open
RSK-00069,TR-0010,Vendor & Dependency risk for Cloud Migration Program 010,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,4,67.61,Monitoring
RSK-00070,TR-0010,People & Change risk for Cloud Migration Program 010,People & Change,Potential people & change risk associated with the transformation.,1,3,37.86,Monitoring
RSK-00071,TR-0010,Compliance risk for Cloud Migration Program 010,Compliance,Potential compliance risk associated with the transformation.,5,3,68.41,Open
RSK-00072,TR-0011,Technology risk for Cybersecurity Modernization Program 011,Technology,Potential technology risk associated with the transformation.,5,4,41.58,Monitoring
RSK-00073,TR-0011,Cybersecurity risk for Cybersecurity Modernization Program 011,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,5,50.98,Monitoring
RSK-00074,TR-0011,Compliance risk for Cybersecurity Modernization Program 011,Compliance,Potential compliance risk associated with the transformation.,1,3,81.88,Monitoring
RSK-00075,TR-0011,Operational risk for Cybersecurity Modernization Program 011,Operational,Potential operational risk associated with the transformation.,3,5,80.51,Open
RSK-00076,TR-0011,Data risk for Cybersecurity Modernization Program 011,Data,Potential data risk associated with the transformation.,3,3,66.09,Open
RSK-00077,TR-0011,Financial risk for Cybersecurity Modernization Program 011,Financial,Potential financial risk associated with the transformation.,3,5,85.05,Mitigated
RSK-00078,TR-0011,People & Change risk for Cybersecurity Modernization Program 011,People & Change,Potential people & change risk associated with the transformation.,5,4,74.7,Monitoring
RSK-00079,TR-0011,Vendor & Dependency risk for Cybersecurity Modernization Program 011,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,3,40.61,Monitoring
RSK-00080,TR-0012,Cybersecurity risk for Data Platform Modernization Program 012,Cybersecurity,Potential cybersecurity risk associated with the transformation.,2,1,46.85,Monitoring
RSK-00081,TR-0012,Data risk for Data Platform Modernization Program 012,Data,Potential data risk associated with the transformation.,4,2,75.33,Open
RSK-00082,TR-0012,Financial risk for Data Platform Modernization Program 012,Financial,Potential financial risk associated with the transformation.,3,5,37.52,Open
RSK-00083,TR-0012,Vendor & Dependency risk for Data Platform Modernization Program 012,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,85.64,Accepted
RSK-00084,TR-0012,People & Change risk for Data Platform Modernization Program 012,People & Change,Potential people & change risk associated with the transformation.,2,2,76.4,Open
RSK-00085,TR-0012,Technology risk for Data Platform Modernization Program 012,Technology,Potential technology risk associated with the transformation.,5,4,32.27,Mitigated
RSK-00086,TR-0012,Operational risk for Data Platform Modernization Program 012,Operational,Potential operational risk associated with the transformation.,2,3,60.89,Open
RSK-00087,TR-0013,Compliance risk for CRM Transformation Program 013,Compliance,Potential compliance risk associated with the transformation.,5,3,54.98,Open
RSK-00088,TR-0013,Data risk for CRM Transformation Program 013,Data,Potential data risk associated with the transformation.,2,4,47.97,Monitoring
RSK-00089,TR-0013,Cybersecurity risk for CRM Transformation Program 013,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,5,52.08,Open
RSK-00090,TR-0013,Financial risk for CRM Transformation Program 013,Financial,Potential financial risk associated with the transformation.,4,5,56.93,Mitigated
RSK-00091,TR-0013,People & Change risk for CRM Transformation Program 013,People & Change,Potential people & change risk associated with the transformation.,2,5,31.25,Open
RSK-00092,TR-0013,Operational risk for CRM Transformation Program 013,Operational,Potential operational risk associated with the transformation.,3,2,28.43,Open
RSK-00093,TR-0013,Technology risk for CRM Transformation Program 013,Technology,Potential technology risk associated with the transformation.,3,4,27.26,Monitoring
RSK-00094,TR-0013,Vendor & Dependency risk for CRM Transformation Program 013,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,2,34.55,Mitigated
RSK-00095,TR-0014,Technology risk for Data Platform Modernization Program 014,Technology,Potential technology risk associated with the transformation.,3,4,57.77,Monitoring
RSK-00096,TR-0014,People & Change risk for Data Platform Modernization Program 014,People & Change,Potential people & change risk associated with the transformation.,3,3,39.25,Open
RSK-00097,TR-0014,Compliance risk for Data Platform Modernization Program 014,Compliance,Potential compliance risk associated with the transformation.,4,2,30.59,Open
RSK-00098,TR-0014,Operational risk for Data Platform Modernization Program 014,Operational,Potential operational risk associated with the transformation.,2,5,50.9,Accepted
RSK-00099,TR-0014,Financial risk for Data Platform Modernization Program 014,Financial,Potential financial risk associated with the transformation.,2,4,54.17,Open
RSK-00100,TR-0014,Cybersecurity risk for Data Platform Modernization Program 014,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,5,81.74,Open
RSK-00101,TR-0015,Vendor & Dependency risk for CRM Transformation Program 015,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,1,28.21,Monitoring
RSK-00102,TR-0015,Compliance risk for CRM Transformation Program 015,Compliance,Potential compliance risk associated with the transformation.,3,3,52.21,Monitoring
RSK-00103,TR-0015,Data risk for CRM Transformation Program 015,Data,Potential data risk associated with the transformation.,4,4,50.05,Open
RSK-00104,TR-0015,Cybersecurity risk for CRM Transformation Program 015,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,61.67,Monitoring
RSK-00105,TR-0015,People & Change risk for CRM Transformation Program 015,People & Change,Potential people & change risk associated with the transformation.,2,1,38.8,Mitigated
RSK-00106,TR-0015,Financial risk for CRM Transformation Program 015,Financial,Potential financial risk associated with the transformation.,4,2,82.87,Open
RSK-00107,TR-0015,Technology risk for CRM Transformation Program 015,Technology,Potential technology risk associated with the transformation.,3,5,28.87,Open
RSK-00108,TR-0016,Technology risk for ERP Modernization Program 016,Technology,Potential technology risk associated with the transformation.,3,2,33.75,Mitigated
RSK-00109,TR-0016,Compliance risk for ERP Modernization Program 016,Compliance,Potential compliance risk associated with the transformation.,3,3,28.59,Open
RSK-00110,TR-0016,Vendor & Dependency risk for ERP Modernization Program 016,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,38.35,Mitigated
RSK-00111,TR-0016,Data risk for ERP Modernization Program 016,Data,Potential data risk associated with the transformation.,5,2,31.98,Open
RSK-00112,TR-0016,Financial risk for ERP Modernization Program 016,Financial,Potential financial risk associated with the transformation.,4,2,80.4,Monitoring
RSK-00113,TR-0016,Operational risk for ERP Modernization Program 016,Operational,Potential operational risk associated with the transformation.,4,4,89.78,Open
RSK-00114,TR-0017,Vendor & Dependency risk for Legacy Application Replacement Program 017,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,5,57.41,Open
RSK-00115,TR-0017,Technology risk for Legacy Application Replacement Program 017,Technology,Potential technology risk associated with the transformation.,5,3,50.84,Monitoring
RSK-00116,TR-0017,Operational risk for Legacy Application Replacement Program 017,Operational,Potential operational risk associated with the transformation.,2,3,37.56,Open
RSK-00117,TR-0017,Compliance risk for Legacy Application Replacement Program 017,Compliance,Potential compliance risk associated with the transformation.,5,4,48.31,Open
RSK-00118,TR-0017,Data risk for Legacy Application Replacement Program 017,Data,Potential data risk associated with the transformation.,3,4,85.24,Mitigated
RSK-00119,TR-0018,Technology risk for CRM Transformation Program 018,Technology,Potential technology risk associated with the transformation.,3,3,49.61,Open
RSK-00120,TR-0018,Financial risk for CRM Transformation Program 018,Financial,Potential financial risk associated with the transformation.,2,4,50.29,Open
RSK-00121,TR-0018,Compliance risk for CRM Transformation Program 018,Compliance,Potential compliance risk associated with the transformation.,4,4,41.73,Mitigated
RSK-00122,TR-0018,People & Change risk for CRM Transformation Program 018,People & Change,Potential people & change risk associated with the transformation.,5,4,68.48,Open
RSK-00123,TR-0018,Cybersecurity risk for CRM Transformation Program 018,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,3,85.05,Monitoring
RSK-00124,TR-0018,Vendor & Dependency risk for CRM Transformation Program 018,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,1,1,69.23,Monitoring
RSK-00125,TR-0018,Data risk for CRM Transformation Program 018,Data,Potential data risk associated with the transformation.,1,4,80.39,Open
RSK-00126,TR-0019,Data risk for ERP Modernization Program 019,Data,Potential data risk associated with the transformation.,3,4,42.57,Open
RSK-00127,TR-0019,Operational risk for ERP Modernization Program 019,Operational,Potential operational risk associated with the transformation.,4,3,59.87,Accepted
RSK-00128,TR-0019,Technology risk for ERP Modernization Program 019,Technology,Potential technology risk associated with the transformation.,5,5,37.19,Monitoring
RSK-00129,TR-0019,Cybersecurity risk for ERP Modernization Program 019,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,3,31.57,Mitigated
RSK-00130,TR-0019,People & Change risk for ERP Modernization Program 019,People & Change,Potential people & change risk associated with the transformation.,3,4,88.84,Monitoring
RSK-00131,TR-0020,Cybersecurity risk for Data Platform Modernization Program 020,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,1,58.83,Open
RSK-00132,TR-0020,People & Change risk for Data Platform Modernization Program 020,People & Change,Potential people & change risk associated with the transformation.,4,2,68.44,Open
RSK-00133,TR-0020,Operational risk for Data Platform Modernization Program 020,Operational,Potential operational risk associated with the transformation.,4,1,55.01,Open
RSK-00134,TR-0020,Technology risk for Data Platform Modernization Program 020,Technology,Potential technology risk associated with the transformation.,3,2,37.25,Open
RSK-00135,TR-0020,Financial risk for Data Platform Modernization Program 020,Financial,Potential financial risk associated with the transformation.,2,5,51.32,Mitigated
RSK-00136,TR-0020,Data risk for Data Platform Modernization Program 020,Data,Potential data risk associated with the transformation.,5,2,67.36,Mitigated
RSK-00137,TR-0020,Compliance risk for Data Platform Modernization Program 020,Compliance,Potential compliance risk associated with the transformation.,4,3,53.02,Open
RSK-00138,TR-0020,Vendor & Dependency risk for Data Platform Modernization Program 020,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,5,87.32,Open
RSK-00139,TR-0021,Operational risk for ERP Modernization Program 021,Operational,Potential operational risk associated with the transformation.,2,2,79.26,Open
RSK-00140,TR-0021,Data risk for ERP Modernization Program 021,Data,Potential data risk associated with the transformation.,3,5,61.88,Open
RSK-00141,TR-0021,Vendor & Dependency risk for ERP Modernization Program 021,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,2,87.97,Open
RSK-00142,TR-0021,Cybersecurity risk for ERP Modernization Program 021,Cybersecurity,Potential cybersecurity risk associated with the transformation.,2,3,87.68,Open
RSK-00143,TR-0021,Technology risk for ERP Modernization Program 021,Technology,Potential technology risk associated with the transformation.,5,4,78.95,Accepted
RSK-00144,TR-0021,Financial risk for ERP Modernization Program 021,Financial,Potential financial risk associated with the transformation.,4,5,33.25,Monitoring
RSK-00145,TR-0022,Cybersecurity risk for Data Platform Modernization Program 022,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,50.45,Open
RSK-00146,TR-0022,Technology risk for Data Platform Modernization Program 022,Technology,Potential technology risk associated with the transformation.,2,4,53.99,Mitigated
RSK-00147,TR-0022,Compliance risk for Data Platform Modernization Program 022,Compliance,Potential compliance risk associated with the transformation.,4,1,35.24,Open
RSK-00148,TR-0022,Data risk for Data Platform Modernization Program 022,Data,Potential data risk associated with the transformation.,5,3,58.52,Mitigated
RSK-00149,TR-0022,People & Change risk for Data Platform Modernization Program 022,People & Change,Potential people & change risk associated with the transformation.,5,3,28.19,Open
RSK-00150,TR-0022,Financial risk for Data Platform Modernization Program 022,Financial,Potential financial risk associated with the transformation.,2,2,61.96,Mitigated
RSK-00151,TR-0022,Operational risk for Data Platform Modernization Program 022,Operational,Potential operational risk associated with the transformation.,3,4,38.12,Mitigated
RSK-00152,TR-0022,Vendor & Dependency risk for Data Platform Modernization Program 022,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,5,86.67,Open
RSK-00153,TR-0023,Cybersecurity risk for CRM Transformation Program 023,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,4,36.88,Open
RSK-00154,TR-0023,Technology risk for CRM Transformation Program 023,Technology,Potential technology risk associated with the transformation.,4,4,53.26,Open
RSK-00155,TR-0023,Data risk for CRM Transformation Program 023,Data,Potential data risk associated with the transformation.,4,2,85.88,Open
RSK-00156,TR-0023,Operational risk for CRM Transformation Program 023,Operational,Potential operational risk associated with the transformation.,2,3,58.77,Open
RSK-00157,TR-0023,People & Change risk for CRM Transformation Program 023,People & Change,Potential people & change risk associated with the transformation.,3,5,56.61,Open
RSK-00158,TR-0024,Data risk for AI Process Automation Program 024,Data,Potential data risk associated with the transformation.,5,3,28.92,Mitigated
RSK-00159,TR-0024,People & Change risk for AI Process Automation Program 024,People & Change,Potential people & change risk associated with the transformation.,4,4,52.83,Monitoring
RSK-00160,TR-0024,Vendor & Dependency risk for AI Process Automation Program 024,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,4,47.6,Monitoring
RSK-00161,TR-0024,Cybersecurity risk for AI Process Automation Program 024,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,5,49.11,Open
RSK-00162,TR-0024,Technology risk for AI Process Automation Program 024,Technology,Potential technology risk associated with the transformation.,4,4,72.88,Open
RSK-00163,TR-0024,Operational risk for AI Process Automation Program 024,Operational,Potential operational risk associated with the transformation.,3,4,33.53,Open
RSK-00164,TR-0024,Financial risk for AI Process Automation Program 024,Financial,Potential financial risk associated with the transformation.,4,4,83.15,Open
RSK-00165,TR-0024,Compliance risk for AI Process Automation Program 024,Compliance,Potential compliance risk associated with the transformation.,2,5,35.04,Open
RSK-00166,TR-0025,Vendor & Dependency risk for Cybersecurity Modernization Program 025,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,3,34.58,Open
RSK-00167,TR-0025,Operational risk for Cybersecurity Modernization Program 025,Operational,Potential operational risk associated with the transformation.,3,2,60.77,Monitoring
RSK-00168,TR-0025,Financial risk for Cybersecurity Modernization Program 025,Financial,Potential financial risk associated with the transformation.,2,3,75.84,Monitoring
RSK-00169,TR-0025,Data risk for Cybersecurity Modernization Program 025,Data,Potential data risk associated with the transformation.,4,3,78.34,Open
RSK-00170,TR-0025,Compliance risk for Cybersecurity Modernization Program 025,Compliance,Potential compliance risk associated with the transformation.,3,2,55.39,Open
RSK-00171,TR-0025,People & Change risk for Cybersecurity Modernization Program 025,People & Change,Potential people & change risk associated with the transformation.,3,4,45.4,Open
RSK-00172,TR-0026,Data risk for Data Platform Modernization Program 026,Data,Potential data risk associated with the transformation.,4,5,57.37,Monitoring
RSK-00173,TR-0026,Compliance risk for Data Platform Modernization Program 026,Compliance,Potential compliance risk associated with the transformation.,5,5,64.88,Mitigated
RSK-00174,TR-0026,Vendor & Dependency risk for Data Platform Modernization Program 026,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,4,54.96,Open
RSK-00175,TR-0026,Operational risk for Data Platform Modernization Program 026,Operational,Potential operational risk associated with the transformation.,1,3,57.13,Open
RSK-00176,TR-0026,Technology risk for Data Platform Modernization Program 026,Technology,Potential technology risk associated with the transformation.,4,4,79.38,Open
RSK-00177,TR-0027,Cybersecurity risk for Cloud Migration Program 027,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,3,51.11,Open
RSK-00178,TR-0027,Data risk for Cloud Migration Program 027,Data,Potential data risk associated with the transformation.,4,5,47.4,Monitoring
RSK-00179,TR-0027,Compliance risk for Cloud Migration Program 027,Compliance,Potential compliance risk associated with the transformation.,3,2,37.69,Open
RSK-00180,TR-0027,People & Change risk for Cloud Migration Program 027,People & Change,Potential people & change risk associated with the transformation.,5,3,79.22,Monitoring
RSK-00181,TR-0027,Technology risk for Cloud Migration Program 027,Technology,Potential technology risk associated with the transformation.,2,2,77.78,Open
RSK-00182,TR-0028,Technology risk for CRM Transformation Program 028,Technology,Potential technology risk associated with the transformation.,3,3,53.11,Open
RSK-00183,TR-0028,Vendor & Dependency risk for CRM Transformation Program 028,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,4,49.59,Mitigated
